timestamp,dew_point,feels_like,humidity,icon,illuminance,precipitation,precipitation_accumulated,pressure,solar_irradiance,temperature,uv_index,wind_direction,wind_gust,wind_speed
2026-07-22T22:00:00-04:00,19.3722786524196,22.804,81,partly-cloudy-night,0,0,0,978.9041666666664,0,22.804,0,95,1.02,0.026333333333333334
2026-07-22T23:00:00-04:00,18.52312409812576,22.980999999999998,76,partly-cloudy-night,0,0,0,979.2021666666672,0,22.980999999999998,0,163,1.02,0.08183333333333333
2026-07-21T20:00:00-04:00,22.304020298334205,22.63650000000002,98,rain,21.483333333333334,38.1,0,972.9029999999999,0.1760928961748634,22.63650000000002,0,308,4.59,0.1495
2026-07-21T21:00:00-04:00,20.230723260997756,20.724500000000003,97,rain,0,28.56,0,974.0596666666665,0,20.724500000000003,0,243,4.59,0.49449999999999983
2026-07-21T22:00:00-04:00,20.40156634030386,20.564500000000002,99,rain,0,7.14,0,973.6676666666666,0,20.564500000000002,0,92,1.02,0.09999999999999994
2026-07-21T23:00:00-04:00,20.40040111541912,20.563333333333333,99,drizzle,0,0.19,0,972.8483333333334,0,20.563333333333333,0,59,1.02,0.07749999999999999
2026-07-20T00:00:00-04:00,18.138959666549162,22.368499999999997,77,partly-cloudy-night,0,0,0,979.4756666666666,0,22.368499999999997,0,228,0.51,0.0071666666666666675
2026-07-20T01:00:00-04:00,17.361283039852918,21.996333333333336,75,partly-cloudy-night,0,0,0,979.301833333333,0,21.996333333333336,0,230,0,0
2026-07-20T02:00:00-04:00,16.699265198918074,21.09466666666667,76,partly-cloudy-night,0,0,0,978.7953333333336,0,21.09466666666667,0,231,0,0
2026-07-20T03:00:00-04:00,16.57191232592293,20.540999999999993,78,partly-cloudy-night,0,0,0,978.8303333333333,0,20.540999999999993,0,230,0,0
2026-07-20T04:00:00-04:00,16.51101942418193,19.867833333333312,81,partly-cloudy-night,0,0,0,979.2208333333331,0,19.867833333333312,0,226,1.02,0.029166666666666667
2026-07-20T05:00:00-04:00,16.09331118359447,20.047666666666657,78,partly-cloudy-night,3.316666666666667,0,0,979.4848333333335,0.02718579234972678,20.047666666666657,0,230,0.51,0.043166666666666666
2026-07-20T06:00:00-04:00,16.570731260936117,20.333333333333318,79,partly-cloudy-night,755.7666666666667,0,0,979.7543333333331,6.194808743169399,20.333333333333318,0,257,0.51,0.008
2026-07-20T07:00:00-04:00,17.06672711824684,20.639499999999995,80,partly-cloudy-day,3221.2166666666667,0,0,980.1298333333333,26.40341530054645,20.639499999999995,0,257,0,0
2026-07-20T08:00:00-04:00,17.439152508248124,22.07700000000001,75,partly-cloudy-day,6067.35,0,0,980.5543333333335,49.73237704918033,22.07700000000001,0,218,1.02,0.04716666666666666
2026-07-20T09:00:00-04:00,17.51087341771541,23.52733333333334,69,partly-cloudy-day,9517.6,0,0,980.8806666666671,78.01311475409837,23.52733333333334,0,243,0.51,0.0023333333333333335
2026-07-20T10:00:00-04:00,17.298270310123268,24.043,66,partly-cloudy-day,11214.4,0,0,980.9378333333335,91.92131147540984,24.043,0,161,1.53,0.05983333333333333
2026-07-20T11:00:00-04:00,18.070934859781783,25.372833333333336,64,partly-cloudy-day,27934.383333333335,0,0,980.8220000000001,228.97035519125686,25.372833333333336,1,228,1.02,0.07383333333333333
2026-07-20T12:00:00-04:00,19.154950929496223,25.493999999999996,68,partly-cloudy-day,17260.533333333333,0,0,980.7253333333335,141.47978142076502,25.493999999999996,0,101,1.02,0.11999999999999997
2026-07-20T13:00:00-04:00,19.469771035962882,26.587833333333336,65,partly-cloudy-day,19809.416666666668,0,0,980.3026666666667,162.37226775956285,26.587833333333336,1,171,1.02,0.09
2026-07-20T14:00:00-04:00,20.129136450672743,30.07347841278353,62,partly-cloudy-day,20833.616666666665,0,0,979.7406666666668,170.76734972677593,28.091999999999995,1,237,1.02,0.10149999999999995
2026-07-20T15:00:00-04:00,20.783392784437904,31.229835338779168,62,partly-cloudy-day,29442.9,0,0,979.2995000000003,241.33524590163935,28.786500000000004,1,274,1.02,0.0725
2026-07-20T16:00:00-04:00,21.233136285404754,31.41549922371886,64,partly-cloudy-day,24610.65,0,0,978.4901666666667,201.7266393442623,28.715500000000006,1,188,1.53,0.12749999999999997
2026-07-20T17:00:00-04:00,21.620725288455517,31.170492159068775,67,partly-cloudy-day,12142.2,0,0,978.3251666666666,99.52622950819672,28.335500000000003,0,258,0.51,0.025333333333333336
2026-07-20T18:00:00-04:00,21.91276711744812,30.06692943117521,72,partly-cloudy-day,5015.733333333334,0,0,978.1289999999997,41.11256830601093,27.408000000000012,0,150,1.02,0.008666666666666666
2026-07-20T19:00:00-04:00,21.52708235833979,26.088833333333334,76,partly-cloudy-day,1098.5,0,0,978.4060000000001,9.004098360655737,26.088833333333334,0,100,0.51,0.0035
2026-07-25T13:00:00-04:00,18.574892698615812,21.390666666666664,84,partly-cloudy-day,6208.566666666667,0,0,983.0331666666663,50.88989071038252,21.390666666666664,0,305,1.02,0.009500000000000001
2026-07-25T14:00:00-04:00,18.82865037159162,21.456500000000002,85,partly-cloudy-day,8718.2,0,0,982.5491666666665,71.46065573770493,21.456500000000002,0,80,0.51,0.025833333333333333
2026-07-25T15:00:00-04:00,19.011496024088224,21.451886792452836,86,partly-cloudy-day,5625.301886792453,0,0,982.1215094339627,46.10903185895453,21.451886792452836,0,100,0.51,0.02415094339622641
2026-07-25T16:00:00-04:00,18.990983497418082,21.24235294117647,87,partly-cloudy-day,6215.823529411765,0,0,981.5576470588232,50.94937319189971,21.24235294117647,0,86,0.51,0.01088235294117647
2026-07-25T17:00:00-04:00,19.330121589191823,22.16226415094339,84,partly-cloudy-day,11622.075471698114,0,0,981.1626415094346,95.26291370244356,22.16226415094339,0,86,0.51,0.005283018867924529
2026-07-25T18:00:00-04:00,19.246220872436844,21.882499999999997,85,partly-cloudy-day,4845.423076923077,0,0,980.8411538461535,39.71658259773014,21.882499999999997,0,86,0.51,0.003653846153846154
2026-07-25T19:00:00-04:00,19.205614610436378,21.46068965517242,87,partly-cloudy-day,1843.8793103448277,0,0,980.5944827586205,15.11376483889203,21.46068965517242,0,86,0,0
2026-07-25T20:00:00-04:00,19.360414312698964,20.88516666666666,91,partly-cloudy-day,80.58333333333333,0,0,980.253666666667,0.66051912568306,20.88516666666666,0,86,0,0
2026-07-25T21:00:00-04:00,19.217903303186056,20.38833333333331,93,partly-cloudy-night,0,0,0,980.5598333333331,0,20.38833333333331,0,86,0,0
2026-07-25T22:00:00-04:00,19.275614529445352,20.273333333333333,94,partly-cloudy-night,0,0,0,980.802666666667,0,20.273333333333333,0,86,0,0
2026-07-25T23:00:00-04:00,19.03158207427066,20.027441860465117,94,partly-cloudy-night,0,0,0,980.4355813953488,0,20.027441860465117,0,86,0,0
2026-07-26T00:00:00-04:00,18.707036472432232,19.530000000000005,95,partly-cloudy-night,0,0,0,979.9696666666665,0,19.530000000000005,0,86,0,0
2026-07-26T01:00:00-04:00,18.772466615289026,19.42733333333333,96,partly-cloudy-night,0,0,0,979.6476666666666,0,19.42733333333333,0,86,0,0
2026-07-26T02:00:00-04:00,18.440325270611805,19.093529411764706,96,partly-cloudy-night,0,0,0,979.149411764706,0,19.093529411764706,0,86,0,0
2026-07-26T03:00:00-04:00,18.673054354368404,19.161000000000005,97,partly-cloudy-night,0,0,0,978.4906666666668,0,19.161000000000005,0,86,0.51,0.004666666666666667
2026-07-26T04:00:00-04:00,18.61254585389894,18.935833333333324,98,partly-cloudy-night,0,0,0,978.3355,0,18.935833333333324,0,86,0,0
2026-07-26T05:00:00-04:00,18.452109102181016,18.775,98,partly-cloudy-night,0,0,0,978.132,0,18.775,0,86,0,0
2026-07-26T06:00:00-04:00,18.233238258450537,18.39349999999998,99,partly-cloudy-day,567.5666666666667,0,0,978.6008333333338,4.652185792349727,18.39349999999998,0,86,0,0
2026-07-26T07:00:00-04:00,18.29260657273419,18.452941176470592,99,partly-cloudy-day,1650.235294117647,0,0,978.6735294117648,13.52651880424301,18.452941176470592,0,86,0,0
2026-07-26T08:00:00-04:00,19.238502272056984,19.4,99,partly-cloudy-day,3130.6,0,0,978.878,25.660655737704918,19.4,0,86,0,0
2026-07-26T09:00:00-04:00,20.46610891900366,21.824666666666662,92,partly-cloudy-day,8895.066666666668,0,0,979.2166666666667,72.9103825136612,21.824666666666662,0,250,0,0
2026-07-26T10:00:00-04:00,21.023292438768266,24.091666666666658,83,partly-cloudy-day,10054.116666666667,0,0,978.6220000000001,82.41079234972678,24.091666666666658,0,85,0.51,0.011833333333333335
2026-07-26T11:00:00-04:00,20.672333239052683,24.985,77,partly-cloudy-day,8522,0,0,978.495,69.85245901639344,24.985,0,176,1.02,0.66
2026-07-26T12:00:00-04:00,17.663655420386768,28.249744504319978,56,partly-cloudy-day,32223.59649122807,0,0,977.9685964912279,264.12784009203335,27.199999999999992,1,258,2.55,0.4259649122807018
2026-07-26T13:00:00-04:00,18.045829423317215,28.746346885375807,56,partly-cloudy-day,17478.1,0,0,977.3525000000001,143.26311475409835,27.610666666666667,0,258,2.04,0.2918333333333332
2026-07-26T14:00:00-04:00,17.65665181642193,28.521084062500027,55,partly-cloudy-day,15077,0,0,976.8,123.58196721311475,27.5,1,283,1.02,0.28
2026-07-26T15:00:00-04:00,18.700341630282708,30.30744364336971,54,partly-cloudy-day,25118.75,0,0,976.0371666666666,205.89139344262296,28.940666666666676,1,288,2.55,0.1675
2026-07-26T16:00:00-04:00,19.581645594705563,31.08395747098181,56,partly-cloudy-day,14206,0,0,975.8542857142857,116.44262295081967,29.26142857142857,1,286,0,0
2026-07-26T17:00:00-04:00,19.033365118565538,29.87175162341437,57,partly-cloudy-day,9299.55357142857,0,0,975.6283928571427,76.22584894613583,28.36732142857144,0,184,0.51,0.022500000000000003
2026-07-26T18:00:00-04:00,20.7198155280603,26.401999999999997,71,partly-cloudy-day,4807.4,0,0,975.5143333333327,39.40491803278688,26.401999999999997,0,23,0.51,0.004333333333333333
2026-07-26T19:00:00-04:00,20.813813922096198,25.8,74,partly-cloudy-day,2185,0,0,975.43,17.90983606557377,25.8,0,23,0,0
2026-07-26T20:00:00-04:00,20.175245246529094,24.04383333333332,79,partly-cloudy-day,96.53333333333333,0,0,975.7643333333332,0.7912568306010929,24.04383333333332,0,27,0.51,0.004333333333333333
2026-07-26T21:00:00-04:00,20.15081864799851,23.198833333333337,83,partly-cloudy-night,0,0,0,975.923333333333,0,23.198833333333337,0,32,0.51,0.004666666666666667
2026-07-26T22:00:00-04:00,19.79438750990655,23.034285714285716,82,partly-cloudy-night,0,0,0,976.3390476190477,0,23.034285714285716,0,24,0.51,0.0030952380952380953
2026-07-27T00:00:00-04:00,19.733980533512145,21.626000000000012,89,partly-cloudy-night,0,0,0,976.5055,0,21.626000000000012,0,0,0.51,0.0205
2026-07-27T01:00:00-04:00,19.78298510812203,21.312666666666665,91,partly-cloudy-night,0,0,0,976.1821666666671,0,21.312666666666665,0,144,1.02,0.023000000000000003
2026-07-27T02:00:00-04:00,19.808601373943862,21.160370370370373,92,partly-cloudy-night,0,0,0,975.8425925925925,0,21.160370370370373,0,317,0.51,0.0062962962962962955
